NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH
69	ASH	646	ASH	CENIZA
39	AT	1461	AT	EN
48	BAD	1292	BAD	MALO
2	BARK	1204	BARK	CORTEZA
66	BIG	1202	BIG	GRANDE
37	BIRD	937	BIRD	AVE
54	BITE	1403	BITE	MORDER
62	BLACK	163	BLACK	NEGRO
86	BLOOD	946	BLOOD	SANGRE
57	BONE	1394	BONE	HUESO
6	BREAST	1402	BREAST	TETAS
38	CHILD	2099	CHILD	NIÑO
93	CLEAN	704	CLEAN	LAVAR
71	CLOTHES	1895	CLOTHES	ROPA
76	CLOUD	1489	CLOUD	NUBE
19	COLD	1287	COLD	FRÍO
9	COME	1446	COME	VENIR
59	CRY	1839	CRY	LLORAR
36	CUT	1432	CUT	CORTAR
100	DANCE	1879	DANCE	BAILAR
89	DOG	2009	DOG	PERRO
105	DRINK	1401	DRINK	BEBER
55	DRY	1398	DRY	SECO
94	EAR	1247	EAR	OREJA
101	EARTH (SOIL)	1228	EARTH (SOIL)	TIERRA
60	EAT	1336	EAT	COMER
46	EYE	1248	EYE	OJO
47	FAR	1406	FAR	LEJOS
29	FASTEN	1094	FASTEN	AMARRAR
41	FATHER	1217	FATHER	PADRE
50	FEATHER	1201	FEATHER	PLUMA
64	FEW	1242	FEW	POCOS
18	FIRE	221	FIRE	FUEGO
51	FISH	227	FISH	PEZ
33	FIVE	493	FIVE	CINCO
95	FLEA	232	FLEA	PIOJO
8	FLOWER	239	FLOWER	FLOR
26	FOOT	1301	FOOT	PIE
52	FOREST	420	FOREST	BOSQUE
83	FOUR	1500	FOUR	CUATRO
73	GIVE	1447	GIVE	DAR
15	GOOD	1035	GOOD	BUENO
4	GREEN	1425	GREEN	VERDE
65	GUTS	1334	GUTS	TRIPAS
96	HAIR	1040	HAIR	CABELLO
40	HAND	1277	HAND	MANO
61	HE	1211	HE	ÉL
104	HEAD	1256	HEAD	CABEZA
75	HEAR	1408	HEAR	OÍR
67	HEAVY	1210	HEAVY	PESADO
63	HIT	1433	HIT	GOLPEAR
79	HOT OR WARM	2272	HOT OR WARM	CALIENTE
11	I	1209	I	YO
68	KILL	1417	KILL	MATAR
10	KNOW	3626	KNOW	SABER
97	LAUGH	1355	LAUGH	REÍR
102	LEAF	628	LEAF	HOJA
20	LIVER	1224	LIVER	HÍGADO
91	MAN	1554	MAN	HOMBRE
5	MEAT	634	MEAT	CARNE
24	MOON	1313	MOON	LUNA
74	MOTHER	1216	MOTHER	MADRE
17	MOUNTAIN	639	MOUNTAIN	MONTAÑA
22	MOUTH	674	MOUTH	BOCA
84	NECK	1333	NECK	CUELLO
78	NEW	1231	NEW	NUEVO
80	NIGHT	1233	NIGHT	NOCHE
35	NO	1269	NO	NO
58	NOSE	1221	NOSE	NARIZ
21	OLD	1229	OLD	VIEJO
44	ONE	1493	ONE	UNO
87	PATH	2252	PATH	CAMINO
16	RED	156	RED	ROJO
43	SALT	1274	SALT	SAL
1	SAND	671	SAND	ARENA
82	SAY	1458	SAY	DECIR
103	SEE	1409	SEE	VER
34	SING	1261	SING	CANTAR
88	SISTER	1263	SISTER	HERMANA
14	SLEEP	1585	SLEEP	DORMIR
106	SMALL	1246	SMALL	PEQUEÑO
56	SMELL	2124	SMELL	OLER
7	SMOKE (EXHAUST)	778	SMOKE (EXHAUST)	HUMO
99	SNAKE	730	SNAKE	SERPIENTE
92	STOMACH	819	STOMACH	VIENTRE
13	STONE	857	STONE	PIEDRA
90	SUN	1343	SUN	SOL
81	TAIL	1220	TAIL	COLA
12	TALK	2708	TALK	HABLAR
98	THIS	1214	THIS	ESTE
23	THOU	1215	THOU	TÚ
30	THREE	492	THREE	TRES
108	TONGUE	1205	TONGUE	LENGUA
25	TOOTH	1380	TOOTH	DIENTE
107	TREE	906	TREE	ÁRBOL
27	TUMBLE (FALL DOWN)	2894	TUMBLE (FALL DOWN)	CAER
3	TWO	1498	TWO	DOS
53	WALK	1443	WALK	CAMINAR
77	WATER	948	WATER	AGUA
31	WE	1212	WE	NOSOTROS
85	WHAT	1236	WHAT	QUÉ
72	WHITE	1335	WHITE	BLANCO
32	WIND	960	WIND	VIENTO
28	WITH	1340	WITH	CON
42	WOMAN	962	WOMAN	MUJER
49	WORM	1219	WORM	GUSANO
45	YELLOW	1424	YELLOW	AMARILLO
70	YOU	1213	YOU	USTEDES
109	LEG	1297	LEG	PIERNA
110	LONG	1203	LONG	LARGO
